Anno,Tipo Veicolo,Euro 0,Euro 1,Euro 2,Euro 3,Euro 4,Euro 5,Euro 6,Non Contemplato,Non Identificato
2021,Autovetture,74268,14397,34416,44656,139146.0,120548.0,247138.0,3830.0,440.0
2021,Veicoli industriali,9429,3362,5613,8572,10833.0,14701.0,22195.0,223.0,62.0
2021,Motrici,291,30,158,475,104.0,1044.0,1672.0,0.0,5.0
2021,Autobus,138,9,221,643,277.0,1300.0,1480.0,181.0,1.0
2021,Motocicli,38886,18072,18638,65217,31179.0,6229.0,0.0,4952.0,188.0
2020,Autovetture,74753,15143,38445,50418,152415.0,129162.0,225300.0,2145.0,442.0
2020,Veicoli industriali,9523,3454,5930,9268,11908.0,15296.0,18523.0,201.0,62.0
2020,Motrici,284,31,173,522,111.0,1120.0,1204.0,0.0,5.0
2020,Autobus,139,7,108,640,110.0,872.0,1048.0,40.0,1.0
2020,Motocicli,39191,19070,19719,67918,30261.0,0.0,0.0,2318.0,181.0
2019,Autovetture,75385,15983,42529,56164,165063.0,135608.0,198684.0,1050.0,448.0
2019,Veicoli industriali,9661,3587,6319,9971,13024.0,15737.0,15189.0,191.0,62.0
2019,Motrici,287,30,190,579,117.0,1135.0,1042.0,0.0,5.0
2019,Autobus,143,8,127,745,108.0,881.0,962.0,39.0,1.0
2019,Motocicli,39550,20171,20875,70790,23658.0,0.0,0.0,420.0,183.0
2018,Autovetture,75736,16450,47013,66027,183835.0,143157.0,159787.0,635.0,444.0
2018,Veicoli industriali,9854,3717,6896,11510,14730.0,16284.0,11113.0,182.0,62.0
2018,Motrici,299,34,206,629,126.0,1069.0,829.0,0.0,5.0
2018,Autobus,142,4,215,867,115.0,895.0,764.0,23.0,1.0
2018,Motocicli,39454,20727,21434,71761,15698.0,0.0,0.0,228.0,188.0
2017,Autovetture,76134,17247,52525,75783,199074.0,152077.0,126813.0,626.0,444.0
2017,Veicoli industriali,9987,3808,7328,12945,16029.0,16853.0,7161.0,150.0,62.0
2017,Motrici,302,37,210,629,107.0,1035.0,547.0,0.0,5.0
2017,Autobus,142,9,325,924,116.0,803.0,300.0,10.0,1.0
2017,Motocicli,39631,21504,22362,73913,8239.0,0.0,0.0,187.0,193.0
2016,Autovetture,76607,18299,59378,83863,212322.0,160675.0,78697.0,536.0,447.0
2016,Veicoli industriali,10263,3919,7776,14294,17456.0,17099.0,2656.0,129.0,62.0
2016,Motrici,320,40,225,659,108.0,905.0,306.0,0.0,5.0
2016,Autobus,147,9,366,932,111.0,808.0,251.0,10.0,1.0
2016,Motocicli,39920,22465,23270,75543,1832.0,0.0,0.0,144.0,197.0
2015,Autovetture,77460,19375,66156,92302,224268.0,183983.0,22613.0,316.0,449.0
2015,Veicoli industriali,10523,4094,8227,15387,18632.0,16085.0,384.0,118.0,62.0
2015,Motrici,320,43,252,680,130.0,863.0,126.0,0.0,5.0
2015,Autobus,157,11,430,959,118.0,839.0,214.0,10.0,1.0
2015,Motocicli,40238,23407,24185,72718,0.0,0.0,0.0,131.0,200.0
2014,Autovetture,78765,20655,73239,99246,234046.0,172062.0,7916.0,450.0,0.0
2014,Veicoli industriali,10845,4223,8796,16235,18881.0,13667.0,170.0,62.0,0.0
2014,Motrici,329,45,273,710,158.0,738.0,82.0,5.0,0.0
2014,Autobus,185,17,524,959,122.0,817.0,54.0,1.0,0.0
2014,Motocicli,40421,24218,24941,68015,0.0,0.0,0.0,0.0,213.0
